submission,model_id,event_id,metric_set,threshold,CSI,Accuracy,Precision,Recall,F1,TP,FP,TN,FN
DualFloodGNN,1,5,CSI5,0.167,0.504026219,0.534733548,0.535775605,0.894797941,0.670235947,257445,223064,33711,30268
DualFloodGNN,1,8,CSI5,0.167,0.382614794,0.431280381,0.400367063,0.896148286,0.553465499,505226,756681,112992,58549
DualFloodGNN,1,18,CSI5,0.167,0.45515382,0.490775738,0.473066627,0.92319711,0.625574855,56724,63183,8718,4719
DualFloodGNN,1,22,CSI5,0.167,0.364020663,0.413655369,0.376311786,0.917661979,0.533746553,48481,80351,11274,4350
DualFloodGNN,1,26,CSI5,0.167,0.427550519,0.466552676,0.442385838,0.927269871,0.598998794,53127,66965,9085,4167
DualFloodGNN,1,29,CSI5,0.167,0.392807766,0.437551919,0.406678685,0.920106431,0.56405166,52562,76685,10645,4564
DualFloodGNN,1,31,CSI5,0.167,0.358145371,0.408629617,0.369809769,0.919059096,0.527403588,47667,81229,11362,4198
DualFloodGNN,1,33,CSI5,0.167,0.602605869,0.62206146,0.65185049,0.888600328,0.752032525,312048,166663,26657,39120
DualFloodGNN,1,35,CSI5,0.167,0.427347742,0.469724748,0.449437143,0.896853379,0.598799759,567249,694883,106077,65239
DualFloodGNN,1,37,CSI5,0.167,0.37193829,0.419733344,0.383281987,0.926292219,0.542208484,49640,79873,10993,3950
DualFloodGNN,1,42,CSI5,0.167,0.513370352,0.542414158,0.54590562,0.895982683,0.678446425,262841,218636,32497,30514
DualFloodGNN,1,44,CSI5,0.167,0.308621894,0.369594153,0.319618245,0.899702686,0.471674661,403379,858686,126415,44968
DualFloodGNN,1,48,CSI5,0.167,0.509247039,0.539014634,0.540928962,0.896851413,0.674835896,260460,221045,33027,29956
DualFloodGNN,1,51,CSI5,0.167,0.541029732,0.566190623,0.579349936,0.891063285,0.702166507,278435,202164,29849,34040
DualFloodGNN,1,52,CSI5,0.167,0.289284038,0.353558692,0.298838863,0.900474861,0.448751446,377172,884953,129636,41687
DualFloodGNN,1,53,CSI5,0.167,0.373137461,0.421027856,0.384955615,0.923979213,0.543481583,49784,79540,11036,4096
DualFloodGNN,1,59,CSI5,0.167,0.380025388,0.425243673,0.388170239,0.947675176,0.5507513,50893,80217,10536,2810
DualFloodGNN,1,62,CSI5,0.167,0.568507375,0.590167276,0.611323776,0.890315176,0.724902393,294007,186928,27332,36221
DualFloodGNN,1,65,CSI5,0.167,0.398837324,0.446318946,0.41719778,0.900622414,0.570241181,526557,735571,113218,58102
DualFloodGNN,1,66,CSI5,0.167,0.417498792,0.457530898,0.429027747,0.939527382,0.589064053,51845,68998,9164,3337
DualFloodGNN,1,67,CSI5,0.167,0.603827912,0.623225856,0.653234113,0.888686463,0.752983419,312679,165984,26660,39165
DualFloodGNN,1,69,CSI5,0.167,0.3149007,0.373144764,0.322416224,0.931078451,0.478972594,41622,87472,12281,3081
DualFloodGNN,1,73,CSI5,0.167,0.550925059,0.577033837,0.590200645,0.892227917,0.710447041,282532,196173,31656,34127
DualFloodGNN,1,75,CSI5,0.167,0.57262296,0.595653164,0.616287961,0.889892121,0.728239349,294985,183663,29341,36499
DualFloodGNN,1,80,CSI5,0.167,0.424682982,0.467225878,0.446669382,0.896133438,0.596178922,563745,698363,105999,65341
DualFloodGNN,1,81,CSI5,0.167,0.373911055,0.425129478,0.389935607,0.900976522,0.54430169,492135,769958,117266,54089
DualFloodGNN,1,83,CSI5,0.167,0.351870516,0.403458493,0.361411532,0.930210363,0.52056837,46784,82664,11498,3510
DualFloodGNN,1,88,CSI5,0.167,0.538448509,0.564590955,0.57346858,0.898139248,0.69998899,276573,205708,30840,31367
DualFloodGNN,1,97,CSI5,0.167,0.311831124,0.37238114,0.323005028,0.900141094,0.475413516,407664,854434,126125,45225
DualFloodGNN,1,5,CSI30,1,0.038154805,0.209451815,0.038296174,0.911785123,0.073505039,17075,428792,96969,1652
DualFloodGNN,1,8,CSI30,1,0.040224696,0.18578909,0.040378567,0.913462436,0.077338475,48915,1162495,217404,4634
DualFloodGNN,1,18,CSI30,1,0.063867071,0.326943844,0.064328714,0.898986933,0.120065886,6123,89060,37473,688
DualFloodGNN,1,22,CSI30,1,0.048529968,0.338220635,0.048676763,0.941494497,0.092567632,4876,95295,43982,303
DualFloodGNN,1,26,CSI30,1,0.066203458,0.339835313,0.066398562,0.957502301,0.124185413,6241,87752,39074,277
DualFloodGNN,1,29,CSI30,1,0.051278847,0.316719278,0.051632197,0.882255664,0.097555178,5335,97992,40417,712
DualFloodGNN,1,31,CSI30,1,0.047927118,0.328646785,0.048090468,0.933817904,0.091470326,4882,96635,42593,346
DualFloodGNN,1,33,CSI30,1,0.03280286,0.236185187,0.032939369,0.887832819,0.063522015,14105,414106,114495,1782
DualFloodGNN,1,35,CSI30,1,0.036113533,0.182425173,0.036237308,0.913590779,0.069709605,43909,1167798,217588,4153
DualFloodGNN,1,37,CSI30,1,0.04695561,0.308156117,0.047148493,0.919858024,0.089699332,4924,99512,39591,429
DualFloodGNN,1,42,CSI30,1,0.043497619,0.203020085,0.043677942,0.913315129,0.083368891,19734,432073,90808,1873
DualFloodGNN,1,44,CSI30,1,0.041079813,0.186626233,0.041225031,0.921023031,0.078917702,49948,1161646,217571,4283
DualFloodGNN,1,48,CSI30,1,0.042427435,0.20554723,0.042588177,0.9183077,0.081401226,19166,430865,92752,1705
DualFloodGNN,1,51,CSI30,1,0.041891004,0.212355461,0.042051652,0.916426372,0.08041341,18751,427153,96874,1710
DualFloodGNN,1,52,CSI30,1,0.036444115,0.182981175,0.036558653,0.920838184,0.070325288,44296,1167346,217998,3808
DualFloodGNN,1,53,CSI30,1,0.047240448,0.316442377,0.047422561,0.924820552,0.090218914,4896,98346,40816,398
DualFloodGNN,1,59,CSI30,1,0.049920281,0.282231268,0.050063866,0.945669155,0.09509347,5448,103373,35322,313
DualFloodGNN,1,62,CSI30,1,0.043926707,0.210079928,0.044096973,0.919201786,0.084156687,19761,428365,94625,1737
DualFloodGNN,1,65,CSI30,1,0.03424315,0.18099366,0.034353958,0.913914991,0.06621876,41627,1170082,217818,3921
DualFloodGNN,1,66,CSI30,1,0.058330625,0.304708123,0.058575144,0.93321417,0.110231384,5743,92302,34888,411
DualFloodGNN,1,67,CSI30,1,0.034347071,0.237404681,0.034490892,0.891740128,0.066413048,14769,413431,114495,1793
DualFloodGNN,1,69,CSI30,1,0.047835319,0.329498256,0.04791162,0.96778043,0.091303124,4866,96696,42732,162
DualFloodGNN,1,73,CSI30,1,0.032317486,0.235872967,0.032444637,0.891848524,0.062611525,13895,414373,114535,1685
DualFloodGNN,1,75,CSI30,1,0.034713662,0.237777508,0.034856103,0.894676897,0.067098103,14925,413264,114542,1757
DualFloodGNN,1,80,CSI30,1,0.037510907,0.183521132,0.037643651,0.914069858,0.072309421,45613,1166092,217455,4288
DualFloodGNN,1,81,CSI30,1,0.036996651,0.183042566,0.037131828,0.910415444,0.071353464,44990,1166639,217392,4427
DualFloodGNN,1,83,CSI30,1,0.047112535,0.31225425,0.04720898,0.958439024,0.089985619,4912,99136,40195,213
DualFloodGNN,1,88,CSI30,1,0.047277057,0.202085262,0.047467755,0.921679278,0.090285674,21559,432623,88474,1832
DualFloodGNN,1,97,CSI30,1,0.038730486,0.184746151,0.038861066,0.920168067,0.074572733,47085,1164539,217739,4085
DualFloodGNN,2,4,CSI5,0.167,0.104551962,0.163830138,0.937906392,0.105280694,0.189311079,167466,11087,113552,1423196
DualFloodGNN,2,8,CSI5,0.167,0.104586965,0.166817952,0.933942049,0.105366409,0.189368458,166930,11807,119213,1417351
DualFloodGNN,2,17,CSI5,0.167,0.10482634,0.222551027,0.874401572,0.106428859,0.189760755,156162,22431,225580,1311128
DualFloodGNN,2,18,CSI5,0.167,0.657290518,0.693918786,0.968107832,0.671837808,0.79321098,128708,4240,23433,62868
DualFloodGNN,2,22,CSI5,0.167,0.613487361,0.675715739,0.951077063,0.633478346,0.76044892,112851,5805,35299,65294
DualFloodGNN,2,29,CSI5,0.167,0.774248714,0.797093715,0.962260105,0.798495902,0.872762322,152575,5984,22187,38503
DualFloodGNN,2,31,CSI5,0.167,0.568142097,0.633717828,0.953614529,0.584289175,0.724605376,105650,5139,33292,75168
DualFloodGNN,2,35,CSI5,0.167,0.104499356,0.189393582,0.909827517,0.105592968,0.189224838,162255,16081,162612,1374353
DualFloodGNN,2,37,CSI5,0.167,0.679599254,0.717316841,0.963295962,0.697664915,0.809239766,131461,5009,25810,56969
DualFloodGNN,2,42,CSI5,0.167,0.301429787,0.362199195,0.96525679,0.304736047,0.463228658,188116,6771,59462,429192
DualFloodGNN,2,44,CSI5,0.167,0.103782578,0.251312743,0.836637562,0.105929197,0.188048951,148714,29038,282363,1255186
DualFloodGNN,2,51,CSI5,0.167,0.105194486,0.203170755,0.89803161,0.106466168,0.190363755,160683,18245,187816,1348557
DualFloodGNN,2,52,CSI5,0.167,0.104606361,0.175194324,0.92448039,0.105507943,0.18940025,165286,13502,135225,1401288
DualFloodGNN,2,53,CSI5,0.167,0.647247145,0.686908492,0.964048986,0.663256118,0.785853109,125953,4697,24651,63948
