submission,model_id,event_id,metric_set,threshold,CSI,Accuracy,Precision,Recall,F1,TP,FP,TN,FN
Team 1,1,5.0,CSI5,0.167,0.9817116214364177,0.9902458823702267,0.9906526467951435,0.9908902274141245,0.9907714228620579,285092,2690,254085,2621
Team 1,1,8.0,CSI5,0.167,0.9467659805077542,0.9785510182441218,0.975405142658378,0.969920624362556,0.9726551521727531,546817,13788,855885,16958
Team 1,1,18.0,CSI5,0.167,0.9748819098685051,0.988195944324454,0.9804047439456918,0.9942548378171638,0.9872812191929149,61090,1221,70680,353
Team 1,1,22.0,CSI5,0.167,0.9708452112102477,0.9890970260840671,0.9777955926768336,0.9927315401942042,0.9852069616508091,52447,1191,90434,384
Team 1,1,26.0,CSI5,0.167,0.9731027857829011,0.988240940724742,0.9826433396847393,0.9901211296121758,0.9863680623174294,56728,1002,75048,566
Team 1,1,29.0,CSI5,0.167,0.9624229979466119,0.984798139225785,0.9771708537475242,0.9845604453313728,0.9808517317149732,56244,1314,86016,882
Team 1,1,31.0,CSI5,0.167,0.985861133402117,0.9948773328902919,0.9909162489677555,0.9948520196664418,0.9928802339901478,51598,473,92118,267
Team 1,1,33.0,CSI5,0.167,0.9797821434311704,0.986831665711641,0.990115006724873,0.9894608848186623,0.9897878376992583,347467,3469,189851,3701
Team 1,1,35.0,CSI5,0.167,0.9579452020766575,0.9811029071162679,0.9815095252032934,0.9755505242787215,0.9785209525380293,617024,11624,789336,15464
Team 1,1,37.0,CSI5,0.167,0.9797319747480341,0.9923990696128925,0.9891166604547149,0.9904086583317783,0.9897622377622378,53076,584,90282,514
Team 1,1,42.0,CSI5,0.167,0.9711653203984013,0.9842457501359075,0.985892951594465,0.9848511189514411,0.9853717598908595,288911,4134,246999,4444
Team 1,1,44.0,CSI5,0.167,0.9441095093103763,0.9820467850944018,0.9729044415499546,0.9696039005502435,0.9712513670541896,434719,12107,972994,13628
Team 1,1,48.0,CSI5,0.167,0.9731761912837036,0.9854744273519342,0.9847824967824967,0.9880344058178613,0.9864057711446207,286941,4434,249638,3475
Team 1,1,51.0,CSI5,0.167,0.9836406532307487,0.9905378998251568,0.9921467393915324,0.9913593087446996,0.9917528677673514,309775,2452,229561,2700
Team 1,1,52.0,CSI5,0.167,0.9397969632116896,0.9817886662090288,0.9650529995168945,0.972907350683643,0.9689642586672406,407511,14757,999832,11348
Team 1,1,53.0,CSI5,0.167,0.9833661471654369,0.9937420390984106,0.9913374142088667,0.9918893838158872,0.9916133222005752,53443,467,90109,437
Team 1,1,59.0,CSI5,0.167,0.9849125593248509,0.9943442986099573,0.9916700754899409,0.9931288754818166,0.9923989393868913,53334,448,90305,369
Team 1,1,62.0,CSI5,0.167,0.9865590102516534,0.9918033087965208,0.9944868957519346,0.9919843259808375,0.9932340344892933,327581,1816,212444,2647
Team 1,1,65.0,CSI5,0.167,0.9456873180038157,0.9773594856597518,0.9777132604456655,0.966522366028745,0.9720856062052629,565086,12881,835908,19573
Team 1,1,66.0,CSI5,0.167,0.98347983965198,0.9931080513558915,0.9918958609061407,0.9914464861730274,0.9916711226311641,54710,447,77715,472
Team 1,1,67.0,CSI5,0.167,0.9784480572539517,0.9859519401713169,0.9912481767034799,0.9869743409010812,0.9891066421142427,347261,3066,189578,4583
Team 1,1,69.0,CSI5,0.167,0.972324887562898,0.9913953037603146,0.9951916503349892,0.9769143010536205,0.985968279054016,43671,211,99542,1032
Team 1,1,73.0,CSI5,0.167,0.9726312964401961,0.9838931252846711,0.9880170804155347,0.984241723746996,0.9861257886310567,311669,3780,224049,4990
Team 1,1,75.0,CSI5,0.167,0.9768533438369081,0.9857535886924964,0.9890032537076255,0.9875800943635289,0.9882911616912532,327367,3640,209364,4117
Team 1,1,80.0,CSI5,0.167,0.9563765621632427,0.9805141170101741,0.9820198916574991,0.9734217579154519,0.9777019216645485,612366,11212,793150,16720
Team 1,1,81.0,CSI5,0.167,0.9182973053272231,0.9683462532299741,0.9824103469000909,0.9336481004130174,0.9574087424061516,509981,9131,878093,36243
Team 1,1,83.0,CSI5,0.167,0.9830190171193611,0.9940535526388659,0.9941622183570243,0.9887262894182208,0.9914368028072135,49727,292,93870,567
Team 1,1,88.0,CSI5,0.167,0.9834007235582038,0.9905452461762243,0.9928576079171821,0.9904072221861402,0.9916309012875537,304986,2194,234354,2954
Team 1,1,97.0,CSI5,0.167,0.9421514795427839,0.9811112785395772,0.9667620331700045,0.9736911251984481,0.9702142077656916,440974,15161,965398,11915
