submission,model_id,metric_set,threshold,N_events,CSI,Accuracy,Precision,Recall,F1,CSI_micro,Accuracy_micro,Precision_micro,Recall_micro,F1_micro,CSI_macro,TP,FP,TN,FN
Team 1,1,CSI5,0.167,29,0.9687050739671669,0.9865639670325885,0.9850098329538024,0.983106323077652,0.9840248037503375,0.9604094894020734,0.9824611504003867,0.9824964595549005,0.9771282046180324,0.9798049791066856,0.9395435879264703,7857596,139986,10286638,183924
Team 1,1,CSI30,1.0,29,0.9734773074845087,0.9989946616449111,0.9856101212948762,0.9874984760699745,0.9865194378529291,0.9668748327505284,0.9988069185512091,0.9825411569157062,0.9837765737763596,0.9831584772462879,0.968181092694873,643140,11428,17802970,10606
Team 1,2,CSI5,0.167,30,0.9826899739020265,0.9854271709540808,0.9901464825807988,0.9923625155614887,0.9912413798868756,0.9797430370002346,0.9825464387235179,0.9896439754907673,0.9898918209188862,0.9897678826892305,0.9751436162268711,26063621,272740,4272911,266146
Team 1,2,CSI30,1.0,30,0.9649901069976914,0.989852801237229,0.982190674265896,0.9821672562468834,0.982129401873093,0.9646930497882171,0.9896609658855469,0.9846242802103379,0.9794479206543013,0.9820292792222232,0.9559127630541087,8722114,136203,21834082,183019
Team 2,1,CSI5,0.167,29,0.8675339151705959,0.9387325320563858,0.939946079431565,0.9167095455777716,0.9268624538241683,0.8238371818438693,0.9173943521341398,0.9202242091098075,0.8872009271878948,0.9034108856262965,0.7855992961487691,7134444,618497,9808127,907076
Team 2,1,CSI30,1.0,29,0.9155242830887285,0.9969699580159623,0.9840719793719274,0.9284297715731372,0.9545641488210663,0.8772415865384615,0.9955757330027316,0.9801022583449994,0.8931481033918371,0.9346070242946733,0.8566735119624055,583892,11854,17802544,69854
Team 2,2,CSI5,0.167,30,0.943044466373855,0.9507680514493748,0.9642718098182333,0.9766154520213923,0.9703111248002977,0.930558010058422,0.9383904049493355,0.9599608208815407,0.9681340134912702,0.964030094107622,0.9156595078059064,25490743,1063198,3482453,839024
Team 2,2,CSI30,1.0,30,0.9093368595426988,0.9752079446744928,0.9673190035441254,0.938068302602789,0.9516919392825126,0.8983838286048341,0.9699480667759705,0.9731939301755937,0.9211788302319572,0.9464722729597598,0.8399956712700375,8203220,225953,21744332,701913
Team 3,1,CSI5,0.167,29,0.8538968863558791,0.9323918030855873,0.9207034141365305,0.9229717452507762,0.9207594024977855,0.8604540229315756,0.9359260464938978,0.9433321374433165,0.9073544553765954,0.9249935900869308,0.8000094279816345,7296509,438316,9988308,745011
Team 3,1,CSI30,1.0,29,0.7998054388102899,0.9915667228198249,0.8823628206988336,0.9015205410041174,0.8869032427279917,0.7740979054621134,0.990643239515568,0.841902021224564,0.9057646241812569,0.8726665006241332,0.7615117841632507,592140,111196,17703202,61606
Team 3,2,CSI5,0.167,30,0.9719842392721795,0.9762329628417906,0.984347203513335,0.9872073476454148,0.9857334682313094,0.9697799659771356,0.9738313826229008,0.98456889814146,0.984747453329154,0.9846581676406312,0.9610998433115969,25928171,406371,4139280,401596
Team 3,2,CSI30,1.0,30,0.9476132871232719,0.985076057283197,0.9703843679593712,0.9760124410670807,0.9729687069139727,0.9524026631121132,0.9859205145012125,0.9744641259737372,0.9767809194989002,0.9756211473241811,0.9318837090040922,8698364,227941,21742344,206769
Team 4,1,CSI5,0.167,29,0.7391490539640576,0.879920252955092,0.9202483925036633,0.8010819035450588,0.8435337517823899,0.6697696768191956,0.8501463384734276,0.9430366231778505,0.6980089585053572,0.8022300154534654,0.6131738239657527,5613053,339052,10087572,2428467
Team 4,1,CSI30,1.0,29,0.8466554340638284,0.994395151373643,0.9631657604233654,0.8765637248659707,0.9147615192693861,0.8102947151295434,0.9930978445912053,0.9676695257154435,0.8328418070626818,0.8952075132932809,0.7745773047477703,544467,18191,17796207,109279
Team 4,2,CSI5,0.167,30,0.9572559261866637,0.9633930795175915,0.9795542511720701,0.9766032405680423,0.9780613477356787,0.9536576300053284,0.9596514612368973,0.9789112108077425,0.97366125571867,0.9762791753872733,0.9437586071336521,25636274,552285,3993366,693493
Team 4,2,CSI30,1.0,30,0.928813414778547,0.9795890215349345,0.9717734698243887,0.9543709155390964,0.962945799852186,0.9298482703554737,0.9792043301243727,0.9717372941251964,0.9556944292690519,0.9636490957749727,0.8994439893576962,8510586,247528,21722757,394547
Team 5,1,CSI5,0.167,29,0.8439064894247111,0.9276338614019876,0.9178608367847221,0.9207517631120216,0.9138193111694095,0.8370517521685324,0.9258227031368177,0.9506196321098561,0.8751020951262946,0.9112990433507839,0.7920029243617949,7037151,365548,10061076,1004369
Team 5,1,CSI30,1.0,29,0.9388022822813414,0.9975947641791595,0.9669221960981899,0.9699446778898883,0.9681670749096166,0.9340322831784917,0.9975912576813349,0.9683315935362568,0.9634628739602231,0.9658910984086092,0.9102439045709496,629860,20599,17793799,23886
Team 5,2,CSI5,0.167,30,0.9383897181822807,0.9452453241713975,0.949722998268752,0.9873742823686171,0.9678728365042277,0.933421318208296,0.9403041604165489,0.9502180815013029,0.9814143816768299,0.9655643179452462,0.9239020293737283,25840412,1353779,3191872,489355
Team 5,2,CSI30,1.0,30,0.897049182140086,0.9700630196913245,0.9587954524266796,0.9322686580791972,0.9451114135858212,0.8863981919886661,0.9658016937616845,0.9548576744004922,0.9251681024865097,0.9397784579661979,0.8281873398070425,8238745,389499,21580786,666388
Team 6,1,CSI5,0.167,29,0.9643696364883338,0.9848729894578439,0.9812042932198244,0.9826299373129754,0.9817904422682663,0.9690911033207811,0.9863541783083346,0.9860365769727876,0.9825754335001343,0.9843029626069142,0.9460497009573022,7901400,111893,10314731,140120
Team 6,1,CSI30,1.0,29,0.9698234404900938,0.9987416943952108,0.9797761077389547,0.9895867664873089,0.9845351589549215,0.9788235506962327,0.9992394471258184,0.985521634060743,0.9931043555142212,0.9892984650923946,0.9718862542461796,649238,9538,17804860,4508
Team 6,2,CSI5,0.167,30,0.9813541579638895,0.9843189892921814,0.9911297326224271,0.9900060707874868,0.9905580071946536,0.9798148848402934,0.9826176928195758,0.9901771416671535,0.9894322270303417,0.9898045441953859,0.9723875107749842,26051520,258439,4287212,278247
Team 6,2,CSI30,1.0,30,0.9485895347135586,0.9855089670904155,0.9837979709349801,0.9638120917507663,0.9734578932756611,0.9574319477500354,0.9875089626316962,0.9824611019715885,0.9740810159713504,0.9782531125544904,0.9320156919997427,8674321,154854,21815431,230812
Team 7,1,CSI5,0.167,29,0.9361810039037931,0.9705261657740342,0.9575574433745636,0.9771743030796795,0.9668810082114786,0.946866110666515,0.9760638643493358,0.9658961998335407,0.9796165401565873,0.9727079900141183,0.931763032663392,7877606,278142,10148482,163914
Team 7,1,CSI30,1.0,29,0.9671527272830275,0.998665159708583,0.9794404232736509,0.9872458850884039,0.9831797243807007,0.9768665388852835,0.9991700302964932,0.9865204707775878,0.9900817748789286,0.988297914573555,0.9728725622030626,647262,8844,17805554,6484
Team 7,2,CSI5,0.167,30,0.9734701684901103,0.9772965952436438,0.9809917169862462,0.9921946606715769,0.9865046694666295,0.9748742045211699,0.9782260761619487,0.9839025723882375,0.9906751928340269,0.9872772678779699,0.9691034433157358,26084247,426759,4118892,245520
Team 7,2,CSI30,1.0,30,0.9415911233550137,0.982954081969186,0.9720391015353889,0.9683108123250276,0.9696609667544944,0.9522064774947571,0.9859145874559496,0.9780692644601978,0.9729804147787574,0.9755182030916241,0.9309159445869135,8664520,194280,21776005,240613
Team 8,1,CSI5,0.167,29,0.9735306239640865,0.9886221531731384,0.9855741330921494,0.9875771357550372,0.9865643028175021,0.9781241365000979,0.9903633521592641,0.9883281390637597,0.9895548354042519,0.9889411068313402,0.9646148576010112,7957525,93976,10332648,83995
Team 8,1,CSI30,1.0,29,0.9785759555870505,0.99914701672665,0.985692335716396,0.9926630064939069,0.9890859412984059,0.9863157655301049,0.9995113748300858,0.9913140888861793,0.9949139268156134,0.9931107456793289,0.9816401262418062,650421,5699,17808699,3325
Team 8,2,CSI5,0.167,30,0.9744378050032559,0.9781750980943676,0.9811134111423558,0.9930561497389403,0.9869988368822823,0.9741979085758056,0.9775866354262799,0.981568902398548,0.9923506729094869,0.9869303420330294,0.9677646962802446,26128362,490617,4055034,201405
Team 8,2,CSI30,1.0,30,0.934369568831627,0.9812181228699736,0.9664608141517372,0.966650784038029,0.9657658115358919,0.9440700292187575,0.9833600309475972,0.9686416442743834,0.9738331813797728,0.9712304752706268,0.9268444692460701,8672114,280747,21689538,233019
Team 9,1,CSI5,0.167,29,0.5731356630058673,0.7320899237967187,0.6481708926767517,0.8247664333084148,0.720724686272874,0.5109669259674302,0.6917266835259678,0.6229611238502326,0.7397340303823158,0.6763442894559353,0.4394581349250168,5948586,3600302,6826322,2092934
Team 9,1,CSI30,1.0,29,0.6424797165528889,0.9818176141807887,0.742491395210312,0.8262076226612989,0.7732988794086563,0.5421772841220909,0.9765832993288335,0.6377839794671778,0.7834005867722327,0.7031322399885225,0.5637781894140407,512145,290862,17523536,141601
Team 9,2,CSI5,0.167,30,0.9147042767541593,0.9233210703164775,0.9361338965314051,0.974724239953544,0.9549752710890991,0.9075291042067131,0.915688137404326,0.9334511071502416,0.9703088903141452,0.9515232058114558,0.8860763079988697,25548007,1821404,2724247,781760
Team 9,2,CSI30,1.0,30,0.8973162079763907,0.9709184006705559,0.9568601558920252,0.9349996509417616,0.9454012364048399,0.9050951022359348,0.971682261921118,0.9644358992242332,0.9363464869081686,0.9501836429831355,0.8397155346784028,8338290,307479,21662806,566843
Team 10,1,CSI5,0.167,29,0.3505880807269955,0.6321451893351527,0.7587962290112394,0.554054418036446,0.4693845123427224,0.26390448446248765,0.6433381177881221,0.7225295579230654,0.29366649588634985,0.41760194335368744,0.26329699979509513,2361525,906888,9519736,5679995
Team 10,1,CSI30,1.0,29,0.5362230568937852,0.9822822154479146,0.9152430125010779,0.5935781908677573,0.6655942181592195,0.46203996416699367,0.9803275304762623,0.9352345271991608,0.4773122894824596,0.6320483372426058,0.43054431437143775,312041,21609,17792789,341705
Team 10,2,CSI5,0.167,30,0.9792163200059268,0.9824440318851694,0.9899886470263569,0.9889594690032084,0.989460925505601,0.9777816797323067,0.9808486479438109,0.9892162238057421,0.988316265768702,0.9887660400056387,0.9713986610743155,26022137,283676,4261975,307630
Team 10,2,CSI30,1.0,30,0.9326584586961543,0.9810033924075133,0.9766911660863311,0.9546979147972451,0.9644554058209615,0.9385043130697497,0.981849541275846,0.9762848692328855,0.9603989070123938,0.9682767345341275,0.9165914318602889,8552480,207750,21762535,352653
Team 1,TEAM (per-model avg),CSI30,1.0,59,0.9692337072411,0.99442373144107,0.9839003977803862,0.9848328661584289,0.984324419863011,0.9648425644232582,0.9930840825800131,0.9844809434782403,0.979743963701183,0.9821067416731877,0.9620469278744908,9365254,147631,39637052,193625
Team 1,TEAM (per-model avg),CSI5,0.167,59,0.9756975239345966,0.9859955689933346,0.9875781577673006,0.9877344193195703,0.9876330918186065,0.9751956164459805,0.9825145172940697,0.9879790678280091,0.9869056401641289,0.9874420622709509,0.9573436020766707,33921217,412726,14559549,450070
Team 10,TEAM (per-model avg),CSI30,1.0,59,0.7344407577949698,0.981642803927714,0.9459670892937044,0.7741380528325013,0.8150248119900905,0.9056298998859652,0.981279888144273,0.9747787523037471,0.9273598923053634,0.95047826436829,0.6735678731158633,8864521,229359,39555324,694358
Team 10,TEAM (per-model avg),CSI5,0.167,59,0.6649022003664612,0.8072946106101611,0.8743924380187982,0.7715069435198272,0.7294227189241618,0.7981491739561025,0.8545263311148878,0.9597431898978522,0.8257957288593819,0.8877452277222329,0.6173478304347053,28383662,1190564,13781711,5987625
Team 2,TEAM (per-model avg),CSI30,1.0,59,0.9124305713157137,0.9860889513452276,0.9756954914580264,0.9332490370879631,0.9531280440517895,0.8969473962929914,0.9795399043141636,0.9736499574123602,0.9192617669917152,0.9456745063630158,0.8483345916162215,8787112,237807,39546876,771767
Team 2,TEAM (per-model avg),CSI5,0.167,59,0.9052891907722254,0.9447502917528803,0.9521089446248991,0.946662498799582,0.9485867893122331,0.9049233985693611,0.9305320722488579,0.9509808265292078,0.9491988763760868,0.9500890159142129,0.8506294019773377,32625187,1681695,13290580,1746100
