submission,metric_set,threshold,N_events,CSI,Accuracy,Precision,Recall,F1
Team 1,CSI30,1.0,59,0.9692337072411,0.99442373144107,0.9839003977803862,0.9848328661584289,0.984324419863011
Team 1,CSI5,0.167,59,0.9756975239345966,0.9859955689933346,0.9875781577673006,0.9877344193195703,0.9876330918186065
Team 10,CSI30,1.0,59,0.7344407577949698,0.981642803927714,0.9459670892937044,0.7741380528325013,0.8150248119900905
Team 10,CSI5,0.167,59,0.6649022003664612,0.8072946106101611,0.8743924380187982,0.7715069435198272,0.7294227189241618
Team 2,CSI30,1.0,59,0.9124305713157137,0.9860889513452276,0.9756954914580264,0.9332490370879631,0.9531280440517895
Team 2,CSI5,0.167,59,0.9052891907722254,0.9447502917528803,0.9521089446248991,0.946662498799582,0.9485867893122331
Team 3,CSI30,1.0,59,0.8737093629667809,0.988321390051511,0.9263735943291025,0.9387664910355991,0.9299359748209822
Team 3,CSI5,0.167,59,0.9129405628140292,0.954312382963689,0.9525253088249328,0.9550895464480955,0.9532464353645475
Team 4,CSI30,1.0,59,0.8877344244211877,0.9869920864542887,0.9674696151238771,0.9154673202025335,0.938853659560786
Team 4,CSI5,0.167,59,0.8482024900753606,0.9216566662363417,0.9499013218378667,0.8888425720565505,0.9107975497590343
Team 5,CSI30,1.0,59,0.9179257322107137,0.983828891935242,0.9628588242624347,0.9511066679845428,0.956639244247719
Team 5,CSI5,0.167,59,0.8911481038034959,0.9364395927866925,0.9337919175267371,0.9540630227403193,0.9408460738368186
Team 6,CSI30,1.0,59,0.9592064876018263,0.9921253307428131,0.9817870393369674,0.9766994291190376,0.9789965261152913
Team 6,CSI5,0.167,59,0.9728618972261116,0.9845959893750127,0.9861670129211257,0.9863180040502311,0.98617422473146
Team 7,CSI30,1.0,59,0.9543719253190206,0.9908096208388846,0.9757397624045199,0.9777783487067158,0.9764203455675975
Team 7,CSI5,0.167,59,0.9548255861969517,0.973911380508839,0.9692745801804049,0.9846844818756282,0.9766928388390541
Team 8,CSI30,1.0,59,0.9564727622093387,0.9901825697983118,0.9760765749340666,0.9796568952659679,0.9774258764171488
Team 8,CSI5,0.167,59,0.9739842144836712,0.983398625633753,0.9833437721172527,0.9903166427469887,0.9867815698498922
Team 9,CSI30,1.0,59,0.7698979622646398,0.9763680074256723,0.8496757755511686,0.8806036368015302,0.8593500579067481
Team 9,CSI5,0.167,59,0.7439199698800133,0.827705497056598,0.7921523946040784,0.8997453366309793,0.8378499786809865
