interval,bin_low,bin_high,n_teams_public,n_teams_private
"[0, 0.05)",0.0,0.05,16,15
"[0.05, 0.1)",0.05,0.1,14,14
"[0.1, 0.15)",0.1,0.15000000000000002,9,11
"[0.15, 0.2)",0.15000000000000002,0.2,12,11
"[0.2, 0.25)",0.2,0.25,9,8
"[0.25, 0.3)",0.25,0.30000000000000004,3,8
"[0.3, 0.35)",0.30000000000000004,0.35000000000000003,9,9
"[0.35, 0.4)",0.35000000000000003,0.4,23,19
"[0.4, 0.45)",0.4,0.45,4,6
"[0.45, 0.5)",0.45,0.5,9,8
"[0.5, 0.55)",0.5,0.55,52,52
"[0.55, 0.6)",0.55,0.6000000000000001,5,6
"[0.6, 0.65)",0.6000000000000001,0.65,5,4
"[0.65, 0.7)",0.65,0.7000000000000001,4,4
"[0.7, 0.75)",0.7000000000000001,0.75,0,2
"[0.75, 0.8)",0.75,0.8,5,5
"[0.8, 0.85)",0.8,0.8500000000000001,2,0
"[0.85, 0.9)",0.8500000000000001,0.9,1,1
"[0.9, 0.95)",0.9,0.9500000000000001,2,0
"[0.95, 1)",0.9500000000000001,1.0,1,2
