Rank_public,Rank_private,TeamName,SubmissionCount,Score_public,Score_private,pct_diff,abs_pct_diff
1,1,Jobayer Hossain,9,0.011,0.012,9.090909090909099,9.090909090909099
2,3,Yukiya Tsukada,107,0.0135,0.0159,17.777777777777786,17.777777777777786
3,2,SGD Lai Lai,78,0.0147,0.0156,6.1224489795918355,6.1224489795918355
4,4,Shrey Gandhi,21,0.0154,0.0166,7.7922077922077895,7.7922077922077895
5,5,mtmr_s1,148,0.0166,0.0178,7.228915662650601,7.228915662650601
6,6,SajayR,37,0.0175,0.0206,17.714285714285705,17.714285714285705
7,7,artem2025,34,0.0178,0.0212,19.10112359550562,19.10112359550562
8,9,Dmytro Cheshenko,117,0.0202,0.0281,39.10891089108912,39.10891089108912
9,8,AriMarkowitz,39,0.0227,0.0231,1.762114537444923,1.762114537444923
10,10,Bernd Heidemann,47,0.027,0.0303,12.222222222222227,12.222222222222227
11,11,Thomas Cook,41,0.0373,0.0368,-1.340482573726543,1.340482573726543
12,13,Yuya Kuramochi,50,0.0382,0.0437,14.397905759162317,14.397905759162317
13,12,NSEOverflow,19,0.0386,0.0433,12.176165803108798,12.176165803108798
14,14,suio shion,24,0.0387,0.0438,13.178294573643413,13.178294573643413
15,15,Jason Karpeles,13,0.045,0.048,6.666666666666673,6.666666666666673
16,23,Michael Ibrahim,155,0.0463,0.0714,54.21166306695465,54.21166306695465
17,17,Flood Surfers,57,0.0525,0.0536,2.0952380952381024,2.0952380952381024
18,18,Anuj Saini,5,0.0537,0.0558,3.910614525139674,3.910614525139674
19,16,yonatan nemtsov,28,0.0585,0.0534,-8.717948717948717,8.717948717948717
20,19,TakamaruEX,114,0.0612,0.0625,2.124183006535952,2.124183006535952
21,22,Ege Kemal Karaca,7,0.062,0.0697,12.419354838709674,12.419354838709674
22,20,Jeremy Tan,15,0.0641,0.0631,-1.5600624024961012,1.5600624024961012
23,21,Priyanshu,22,0.0646,0.0648,0.3095975232198016,0.3095975232198016
24,27,naali,88,0.0651,0.0909,39.63133640552993,39.63133640552993
25,26,Ezra,164,0.0698,0.0761,9.025787965616045,9.025787965616045
